ctryname,year,cowcode,illtreatment,RstrctAccess,wdi_aid,wdi_gr,wdi_pop,van_index,cyear,dumAsia,dumAfrica,dumEurope,dumNAmerica,dumLAmerica,lngdp,polity2,polity.category,illtrmt.category,region
Canada,1995,20,2,0,NA,20.256941411,29354000,27.799999237,201995,0,0,0,1,0,27.42745018,10,Democracy,NA,North America
Canada,1996,20,1,0,NA,20.660210022,29671900,27.200000763,201996,0,0,0,1,0,27.443508148,10,Democracy,Low,North America
,1997,20,NA,NA,NA,NA,NA,NA,201997,0,0,0,0,0,NA,NA,NA,NA,NA
,1998,20,NA,NA,NA,NA,NA,NA,201998,0,0,0,0,0,NA,NA,NA,NA,NA
,1999,20,NA,NA,NA,NA,NA,NA,201999,0,0,0,0,0,NA,NA,NA,NA,NA
Canada,2000,20,4,0,NA,20.872847181,30769700,24.899999619,202000,0,0,0,1,0,27.629907608,10,Democracy,NA,North America
Canada,2001,20,5,0,NA,20.392126695,31081900,24.899999619,202001,0,0,0,1,0,27.64758873,10,Democracy,NA,North America
Canada,2002,20,1,0,NA,19.75388614,31362000,24.899999619,202002,0,0,0,1,0,27.67641449,10,Democracy,Low,North America
Canada,2003,20,1,0,NA,19.76406824,31676000,24.899999619,202003,0,0,0,1,0,27.695051193,10,Democracy,Low,North America
Canada,2004,20,2,0,NA,19.725513592,31995000,26.600000381,202004,0,0,0,1,0,27.725772858,10,Democracy,NA,North America
Canada,2005,20,2,0,NA,19.641960532,32312000,NA,202005,0,0,0,1,0,27.754119873,10,Democracy,NA,North America
Cuba,1995,40,13,1,85700000,NA,10910121,0,401995,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,1996,40,13,1,77790000,NA,10954959,0,401996,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,1997,40,19,1,97040000,NA,10993809,0,401997,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,1998,40,19,1,118920000,NA,11027829,0,401998,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,1999,40,17,1,89650000,NA,11058483,0,401999,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,2000,40,11,1,73290000,NA,11086832,0,402000,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,2001,40,10,1,89080000,NA,11113666,0,402001,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
